carat - קראט,cut - חיתוך,color - צבע,clarity - שקיפות / דרגת ניקיון,depth - עומק באחוזים,table - משטח עליון באחוזים,x - אורך מ''מ,y - רוחב מ''מ,z - גובה מ''מ,price - מחיר בדולרים,מחיר לקרט
0.31,Ideal,G,IF,61.3,56.0,4.38,4.4,2.69,891,2874.1935483870966
0.31,Ideal,G,IF,62.1,54.0,4.36,4.37,2.71,891,2874.1935483870966
0.31,Ideal,G,IF,61.3,57.0,4.39,4.42,2.7,891,2874.1935483870966
0.31,Ideal,G,IF,62.1,54.0,4.38,4.41,2.73,891,2874.1935483870966
0.31,Ideal,G,IF,60.2,59.0,4.37,4.4,2.64,891,2874.1935483870966
0.31,Ideal,G,IF,61.9,53.0,4.36,4.39,2.71,891,2874.1935483870966
0.31,Ideal,G,IF,61.7,54.0,4.38,4.4,2.71,891,2874.1935483870966
0.31,Ideal,G,IF,62.1,54.0,4.35,4.38,2.71,891,2874.1935483870966
0.31,Ideal,G,IF,61.0,57.0,4.36,4.39,2.67,891,2874.1935483870966
0.31,Ideal,G,IF,61.6,55.0,4.35,4.38,2.69,891,2874.1935483870966
0.31,Ideal,G,IF,61.2,56.0,4.36,4.4,2.68,891,2874.1935483870966
0.31,Ideal,G,IF,61.2,55.0,4.4,4.42,2.7,891,2874.1935483870966
0.31,Ideal,G,IF,62.1,54.0,4.37,4.39,2.72,891,2874.1935483870966
0.43,Good,G,VS2,61.8,60.7,4.8,4.84,2.99,891,2072.093023255814
0.41,Good,F,VS1,58.0,61.0,4.86,4.9,2.83,891,2173.1707317073174
0.46,Good,E,SI1,63.7,58.0,4.84,4.9,3.1,891,1936.9565217391303
0.33,Ideal,I,IF,61.8,55.0,4.47,4.46,2.76,891,2700.0
0.33,Ideal,I,IF,62.1,55.0,4.44,4.41,2.75,891,2700.0
0.44,Very Good,J,VS1,63.1,57.0,4.87,4.83,3.06,891,2025.0
0.44,Premium,J,VS1,61.9,57.0,4.9,4.83,3.01,891,2025.0
0.44,Very Good,J,VS1,63.2,57.0,4.86,4.82,3.06,891,2025.0
0.33,Premium,I,IF,62.0,58.0,4.46,4.44,2.76,891,2700.0
0.33,Ideal,I,IF,61.6,55.0,4.47,4.46,2.75,891,2700.0
0.33,Premium,I,IF,59.0,61.0,4.56,4.49,2.67,891,2700.0
0.33,Premium,I,IF,62.1,58.0,4.43,4.39,2.74,891,2700.0
0.33,Ideal,I,IF,62.2,56.0,4.45,4.42,2.76,891,2700.0
0.33,Ideal,I,IF,61.4,56.0,4.45,4.41,2.72,891,2700.0
0.35,Very Good,G,IF,62.1,54.0,4.53,4.57,2.82,892,2548.571428571429
0.36,Ideal,G,VVS1,60.0,56.0,4.66,4.69,2.81,892,2477.777777777778
0.32,Ideal,E,VVS1,61.2,55.0,4.4,4.45,2.71,892,2787.5
0.32,Ideal,E,VVS1,61.2,55.0,4.41,4.42,2.7,892,2787.5
0.3,Ideal,F,IF,60.8,56.0,4.35,4.36,2.65,892,2973.3333333333335
0.3,Ideal,F,IF,60.9,56.0,4.32,4.35,2.64,892,2973.3333333333335
0.41,Good,H,VVS1,62.6,62.0,4.7,4.76,2.96,892,2175.6097560975613
0.33,Very Good,E,VVS2,59.8,58.7,4.47,4.51,2.68,893,2706.060606060606
0.33,Very Good,E,VVS2,62.3,56.0,4.4,4.44,2.75,893,2706.060606060606
0.33,Ideal,D,VVS2,61.7,55.0,4.46,4.49,2.76,893,2706.060606060606
0.33,Ideal,F,VVS1,61.9,55.0,4.43,4.46,2.75,893,2706.060606060606
0.33,Ideal,F,VVS1,61.4,55.0,4.47,4.52,2.76,893,2706.060606060606
0.33,Ideal,F,VVS1,61.3,55.0,4.46,4.48,2.74,893,2706.060606060606
0.33,Ideal,F,VVS1,61.1,56.0,4.45,4.48,2.73,893,2706.060606060606
0.33,Ideal,F,VVS1,61.7,54.0,4.46,4.49,2.76,893,2706.060606060606
0.46,Ideal,I,VS2,62.2,54.7,4.95,4.97,3.09,893,1941.3043478260868
0.27,Ideal,D,IF,62.4,56.0,4.15,4.12,2.58,893,3307.4074074074074
0.34,Premium,E,VS2,62.7,56.0,4.51,4.48,2.82,893,2626.470588235294
0.34,Good,H,VVS1,64.0,57.0,4.43,4.38,2.82,893,2626.470588235294
0.58,Fair,F,I1,65.8,56.0,5.23,5.12,3.41,893,1539.6551724137933
0.58,Fair,F,I1,66.3,55.0,5.18,5.1,3.41,893,1539.6551724137933
0.36,Very Good,E,VS1,60.6,58.0,4.61,4.63,2.8,894,2483.3333333333335
0.41,Ideal,I,VVS2,60.7,57.0,4.81,4.84,2.93,894,2180.487804878049
0.39,Good,G,VVS2,63.4,57.0,4.62,4.65,2.94,894,2292.3076923076924
0.39,Ideal,F,VS1,60.9,56.0,4.68,4.75,2.87,894,2292.3076923076924
0.39,Premium,F,VS1,61.7,58.0,4.69,4.71,2.9,894,2292.3076923076924
0.43,Very Good,E,SI1,63.4,56.0,4.82,4.8,3.05,894,2079.0697674418607
0.38,Ideal,H,VVS1,62.3,53.3,4.63,4.66,2.9,894,2352.6315789473683
0.37,Premium,F,VS2,59.2,61.0,4.69,4.63,2.76,894,2416.2162162162163
0.37,Premium,F,VS2,59.7,62.0,4.7,4.68,2.8,894,2416.2162162162163
0.37,Premium,F,VS2,60.5,59.0,4.67,4.62,2.81,894,2416.2162162162163
0.4,Very Good,F,VS1,63.1,56.0,4.68,4.7,2.96,895,2237.5
0.39,Very Good,F,VS1,63.7,57.0,4.63,4.67,2.96,895,2294.871794871795
0.3,Ideal,E,VVS1,60.5,57.0,4.34,4.39,2.64,895,2983.3333333333335
0.34,Ideal,G,VVS1,62.5,53.0,4.47,4.49,2.8,895,2632.3529411764703
0.3,Premium,E,VVS1,60.0,60.0,4.35,4.38,2.62,895,2983.3333333333335
0.3,Very Good,G,IF,62.9,58.0,4.21,4.25,2.66,895,2983.3333333333335
0.3,Ideal,E,VVS1,61.4,56.0,4.33,4.37,2.67,895,2983.3333333333335
0.3,Ideal,E,VVS1,61.2,57.0,4.33,4.36,2.66,895,2983.3333333333335
0.3,Very Good,G,IF,62.8,57.0,4.27,4.3,2.69,895,2983.3333333333335
0.3,Very Good,G,IF,63.0,53.0,4.24,4.3,2.69,895,2983.3333333333335
0.3,Premium,E,VVS1,61.3,59.0,4.28,4.33,2.64,895,2983.3333333333335
0.3,Good,G,IF,63.5,55.0,4.26,4.28,2.71,895,2983.3333333333335
0.3,Very Good,G,IF,61.0,62.0,4.32,4.34,2.64,895,2983.3333333333335
0.4,Ideal,E,VVS2,61.1,57.0,4.77,4.79,2.92,895,2237.5
0.34,Ideal,G,VVS1,62.1,57.0,4.45,4.47,2.77,895,2632.3529411764703
0.3,Ideal,G,IF,62.1,55.0,4.31,4.35,2.69,895,2983.3333333333335
0.3,Ideal,E,VVS1,60.6,57.0,4.33,4.35,2.63,895,2983.3333333333335
0.3,Premium,G,IF,60.0,59.0,4.32,4.34,2.6,895,2983.3333333333335
0.3,Ideal,G,IF,62.6,57.0,4.28,4.32,2.69,895,2983.3333333333335
0.3,Good,G,IF,63.8,55.0,4.24,4.28,2.72,895,2983.3333333333335
0.3,Ideal,E,VVS1,61.8,56.0,4.3,4.31,2.66,895,2983.3333333333335
0.34,Ideal,G,VVS1,62.1,55.0,4.46,4.49,2.78,895,2632.3529411764703
0.3,Ideal,G,IF,61.7,55.0,4.31,4.34,2.67,895,2983.3333333333335
0.3,Ideal,G,IF,60.9,57.0,4.29,4.32,2.62,895,2983.3333333333335
0.3,Premium,G,IF,61.6,60.0,4.29,4.32,2.65,895,2983.3333333333335
0.3,Very Good,G,IF,62.8,57.0,4.28,4.32,2.7,895,2983.3333333333335
0.3,Ideal,E,VVS1,60.1,57.0,4.38,4.41,2.64,895,2983.3333333333335
0.3,Ideal,E,VVS1,61.5,57.0,4.33,4.35,2.67,895,2983.3333333333335
0.3,Ideal,G,IF,61.4,57.0,4.33,4.37,2.67,895,2983.3333333333335
0.3,Ideal,G,IF,62.0,56.0,4.3,4.31,2.67,895,2983.3333333333335
0.3,Premium,G,IF,60.2,58.0,4.35,4.39,2.63,895,2983.3333333333335
0.32,Ideal,F,VVS1,61.9,56.0,4.41,4.44,2.74,895,2796.875
0.4,Ideal,D,VS2,62.8,57.0,4.68,4.72,2.95,895,2237.5
0.39,Ideal,F,VS1,62.5,57.0,4.66,4.69,2.92,895,2294.871794871795
0.5,Ideal,I,SI2,62.2,53.0,5.11,5.14,3.19,895,1790.0
0.5,Ideal,J,SI1,62.3,55.0,5.07,5.11,3.17,895,1790.0
0.39,Ideal,I,IF,62.3,54.0,4.69,4.71,2.93,895,2294.871794871795
0.35,Premium,I,SI1,62.5,58.0,4.49,4.53,2.82,472,1348.5714285714287
0.3,Good,H,SI2,63.9,56.0,4.27,4.24,2.72,473,1576.6666666666667
0.3,Premium,H,SI2,60.9,59.0,4.35,4.32,2.64,473,1576.6666666666667
0.3,Premium,J,VS2,62.2,58.0,4.3,4.28,2.67,473,1576.6666666666667
0.3,Premium,J,VS2,61.6,61.0,4.33,4.28,2.65,473,1576.6666666666667
0.3,Premium,J,VS2,60.6,59.0,4.38,4.34,2.64,473,1576.6666666666667
0.3,Very Good,J,VS2,63.4,57.0,4.26,4.22,2.69,473,1576.6666666666667
0.36,Premium,G,SI2,60.8,58.0,4.57,4.61,2.79,473,1313.888888888889
0.3,Very Good,H,VS2,60.9,61.0,4.32,4.35,2.64,473,1576.6666666666667
0.3,Premium,H,VS2,62.3,58.0,4.31,4.33,2.69,473,1576.6666666666667
0.36,Premium,G,SI2,62.4,58.0,4.56,4.58,2.85,473,1313.888888888889
0.3,Premium,I,VS1,60.3,58.0,4.32,4.34,2.61,473,1576.6666666666667
0.3,Very Good,H,VS2,62.7,59.0,4.22,4.26,2.66,473,1576.6666666666667
0.3,Very Good,I,VS1,63.0,53.0,4.26,4.31,2.7,473,1576.6666666666667
0.3,Premium,H,VS2,62.5,59.0,4.23,4.28,2.66,473,1576.6666666666667
0.3,Ideal,I,VS1,62.5,57.0,4.29,4.32,2.69,473,1576.6666666666667
0.3,Premium,H,VS2,61.8,60.0,4.26,4.31,2.65,473,1576.6666666666667
0.3,Very Good,I,VS1,62.9,58.0,4.26,4.29,2.69,473,1576.6666666666667
0.3,Very Good,I,VS1,60.8,59.0,4.3,4.32,2.62,473,1576.6666666666667
0.3,Very Good,H,VS2,62.5,58.0,4.26,4.28,2.67,473,1576.6666666666667
0.3,Premium,I,VS1,61.7,58.0,4.27,4.32,2.65,473,1576.6666666666667
0.3,Very Good,H,VS2,61.1,61.0,4.31,4.33,2.64,473,1576.6666666666667
0.3,Good,H,VS2,63.5,54.0,4.27,4.3,2.72,473,1576.6666666666667
0.3,Good,H,VS2,63.5,59.0,4.2,4.27,2.69,473,1576.6666666666667
0.3,Ideal,I,VS1,61.0,56.0,4.35,4.37,2.66,473,1576.6666666666667
0.36,Premium,G,SI2,59.3,59.0,4.62,4.66,2.75,473,1313.888888888889
0.3,Ideal,I,VS1,62.5,54.0,4.29,4.32,2.69,473,1576.6666666666667
0.3,Very Good,H,VS2,60.9,61.0,4.27,4.3,2.61,473,1576.6666666666667
0.3,Very Good,I,VS1,60.4,58.0,4.34,4.4,2.64,473,1576.6666666666667
0.3,Premium,I,VS1,59.8,60.0,4.34,4.36,2.6,473,1576.6666666666667
0.4,Very Good,H,VS2,63.1,62.0,4.75,4.66,2.97,895,2237.5
0.36,Ideal,F,VVS2,62.4,55.0,4.54,4.57,2.84,896,2488.888888888889
0.36,Ideal,F,VVS2,61.5,56.0,4.58,4.61,2.82,896,2488.888888888889
0.36,Ideal,F,VVS2,61.7,57.0,4.58,4.61,2.83,896,2488.888888888889
0.37,Ideal,E,VVS2,61.8,54.0,4.61,4.64,2.86,896,2421.6216216216217
0.37,Ideal,E,VVS2,62.5,53.0,4.59,4.63,2.88,896,2421.6216216216217
0.52,Ideal,J,SI1,61.4,56.4,5.15,5.17,3.17,896,1723.076923076923
0.4,Ideal,H,SI1,61.8,57.0,4.75,4.77,2.94,896,2240.0
0.42,Ideal,G,SI1,61.6,56.0,4.81,4.84,2.97,896,2133.3333333333335
0.33,Very Good,F,IF,58.7,55.0,4.56,4.6,2.69,897,2718.181818181818
0.31,Very Good,F,VVS1,62.4,60.0,4.28,4.31,2.68,897,2893.548387096774
0.31,Very Good,F,VVS1,61.8,59.0,4.33,4.35,2.68,897,2893.548387096774
0.31,Ideal,F,VVS1,61.8,56.0,4.34,4.36,2.69,897,2893.548387096774
0.31,Ideal,F,VVS1,62.1,56.0,4.35,4.38,2.71,897,2893.548387096774
0.31,Very Good,F,VVS1,62.4,57.0,4.3,4.32,2.69,897,2893.548387096774
0.35,Very Good,G,IF,62.6,59.0,4.43,4.49,2.79,898,2565.714285714286
0.33,Very Good,G,IF,62.6,55.0,4.41,4.44,2.77,898,2721.212121212121
0.38,Ideal,H,VVS2,62.1,54.0,4.62,4.66,2.88,898,2363.157894736842
0.4,Good,D,VS1,63.2,56.0,4.69,4.74,2.98,898,2245.0
0.4,Ideal,E,VS1,62.1,55.0,4.75,4.79,2.96,898,2245.0
0.33,Ideal,E,VVS2,60.7,55.0,4.49,4.5,2.73,898,2721.212121212121
0.32,Ideal,F,VVS1,62.0,55.0,4.41,4.43,2.74,898,2806.25
0.34,Ideal,G,VS1,61.3,55.0,4.52,4.55,2.78,898,2641.176470588235
0.32,Ideal,E,VS1,61.6,55.0,4.43,4.46,2.74,898,2806.25
0.32,Ideal,E,VS1,61.0,57.0,4.4,4.42,2.69,898,2806.25
0.32,Ideal,E,VS1,61.4,56.0,4.42,4.44,2.72,898,2806.25
0.32,Ideal,G,IF,61.7,57.0,4.39,4.42,2.72,898,2806.25
0.32,Ideal,G,IF,61.4,55.0,4.42,4.44,2.72,898,2806.25
0.32,Ideal,G,IF,61.8,55.0,4.38,4.42,2.72,898,2806.25
0.42,Premium,H,SI1,60.9,58.0,4.85,4.84,2.95,898,2138.095238095238
0.42,Premium,H,SI1,62.1,59.0,4.81,4.78,2.98,898,2138.095238095238
0.42,Ideal,H,SI1,62.2,57.0,4.8,4.78,2.98,898,2138.095238095238
0.42,Ideal,H,SI1,62.9,57.0,4.84,4.76,3.02,898,2138.095238095238
0.42,Very Good,H,SI1,63.2,58.0,4.79,4.77,3.02,898,2138.095238095238
0.42,Ideal,H,SI1,62.7,56.0,4.78,4.76,2.99,898,2138.095238095238
0.42,Very Good,H,SI1,63.1,57.0,4.78,4.76,3.01,898,2138.095238095238
0.38,Premium,F,SI1,62.7,58.0,4.62,4.6,2.89,898,2363.157894736842
0.38,Ideal,E,SI1,61.9,55.0,4.7,4.64,2.89,898,2363.157894736842
0.38,Premium,E,SI1,61.2,59.0,4.67,4.64,2.85,898,2363.157894736842
0.42,Premium,H,SI1,62.0,59.0,4.79,4.76,2.96,898,2138.095238095238
0.42,Ideal,H,SI1,62.4,57.0,4.79,4.76,2.98,898,2138.095238095238
0.42,Premium,H,SI1,59.5,57.0,5.11,4.78,2.94,898,2138.095238095238
0.42,Ideal,E,SI2,62.4,55.0,4.81,4.77,2.99,898,2138.095238095238
0.42,Ideal,E,SI2,62.9,56.0,4.8,4.77,3.01,898,2138.095238095238
0.42,Ideal,D,SI2,62.4,57.0,4.81,4.78,2.99,898,2138.095238095238
0.42,Premium,D,SI2,62.1,59.0,4.82,4.78,2.98,898,2138.095238095238
0.42,Premium,D,SI2,60.1,58.0,4.88,4.83,2.92,898,2138.095238095238
0.42,Premium,D,SI2,60.0,61.0,4.89,4.85,2.92,898,2138.095238095238
0.42,Premium,D,SI2,60.8,59.0,4.83,4.77,2.92,898,2138.095238095238
0.38,Premium,I,VS1,59.9,60.0,4.72,4.66,2.81,898,2363.157894736842
0.38,Premium,I,VS1,61.3,60.0,4.65,4.62,2.84,898,2363.157894736842
0.38,Premium,H,VS2,61.8,58.0,4.66,4.63,2.87,898,2363.157894736842
0.38,Ideal,H,VS2,62.8,55.0,4.66,4.64,2.92,898,2363.157894736842
0.38,Premium,H,VS2,60.5,59.0,4.69,4.66,2.83,898,2363.157894736842
0.38,Premium,H,VS2,60.6,58.0,4.7,4.68,2.84,898,2363.157894736842
0.38,Premium,H,VS2,60.9,60.0,4.67,4.62,2.83,898,2363.157894736842
0.38,Premium,H,VS2,63.0,56.0,4.61,4.57,2.89,898,2363.157894736842
0.38,Ideal,H,VS2,62.8,56.0,4.62,4.59,2.89,898,2363.157894736842
0.38,Premium,F,SI1,60.4,58.0,4.72,4.68,2.84,898,2363.157894736842
0.41,Premium,G,VS1,62.5,59.0,4.73,4.77,2.97,899,2192.6829268292686
0.41,Very Good,G,VS1,62.7,57.0,4.74,4.77,2.98,899,2192.6829268292686
0.41,Premium,G,VS1,62.6,58.0,4.7,4.75,2.96,899,2192.6829268292686
0.41,Ideal,G,VS1,61.7,57.0,4.78,4.81,2.96,899,2192.6829268292686
0.41,Very Good,G,VS1,62.4,57.0,4.71,4.74,2.95,899,2192.6829268292686
0.41,Ideal,G,VS1,60.8,57.0,4.8,4.84,2.93,899,2192.6829268292686
0.41,Ideal,G,VS1,62.4,57.0,4.7,4.75,2.95,899,2192.6829268292686
0.41,Very Good,G,VS1,60.5,57.0,4.81,4.85,2.92,899,2192.6829268292686
0.41,Ideal,H,VVS2,62.0,56.0,4.74,4.78,2.95,899,2192.6829268292686
0.41,Ideal,G,VS1,61.5,56.0,4.77,4.79,2.94,899,2192.6829268292686
0.41,Premium,G,VS1,61.9,58.0,4.75,4.78,2.95,899,2192.6829268292686
0.41,Very Good,G,VS1,61.5,58.0,4.76,4.8,2.94,899,2192.6829268292686
0.41,Ideal,G,VS1,61.6,57.0,4.74,4.77,2.93,899,2192.6829268292686
0.41,Very Good,G,VS1,60.0,61.0,4.77,4.86,2.89,899,2192.6829268292686
0.41,Very Good,G,VS1,60.7,58.0,4.79,4.83,2.92,899,2192.6829268292686
0.41,Premium,G,VS1,60.2,59.0,4.79,4.84,2.9,899,2192.6829268292686
0.41,Ideal,G,VS1,61.4,55.0,4.78,4.8,2.94,899,2192.6829268292686
0.41,Premium,G,VS1,62.1,60.0,4.72,4.78,2.95,899,2192.6829268292686
0.41,Premium,G,VS1,61.9,60.0,4.7,4.76,2.93,899,2192.6829268292686
0.41,Ideal,G,VS1,61.9,57.0,4.76,4.81,2.96,899,2192.6829268292686
0.41,Ideal,G,VS1,60.8,56.0,4.79,4.82,2.92,899,2192.6829268292686
0.41,Very Good,G,VS1,62.3,56.0,4.77,4.8,2.98,899,2192.6829268292686
0.41,Premium,G,VS1,60.5,58.0,4.76,4.8,2.89,899,2192.6829268292686
0.41,Ideal,H,VVS2,62.5,56.0,4.74,4.77,2.97,899,2192.6829268292686
0.41,Very Good,G,VS1,61.7,57.0,4.75,4.78,2.94,899,2192.6829268292686
0.41,Very Good,H,VVS2,62.2,58.0,4.71,4.74,2.94,899,2192.6829268292686
0.41,Ideal,G,VS1,59.8,57.0,4.81,4.86,2.89,899,2192.6829268292686
0.38,Good,F,VS2,62.4,54.3,4.6,4.65,2.89,899,2365.7894736842104
0.5,Premium,I,SI2,59.8,56.0,5.23,5.18,3.11,900,1800.0
0.4,Very Good,H,VVS1,60.5,59.0,4.73,4.76,2.87,900,2250.0
0.39,Very Good,E,VS1,60.0,59.0,4.76,4.8,2.87,900,2307.6923076923076
0.41,Ideal,G,VS2,61.6,54.0,4.81,4.84,2.97,900,2195.1219512195125
0.35,Ideal,E,VS1,62.0,55.0,4.54,4.58,2.82,900,2571.4285714285716
0.32,Ideal,F,VS1,61.9,56.0,4.4,4.35,2.71,900,2812.5
0.32,Ideal,F,VS1,61.3,56.0,4.44,4.4,2.71,900,2812.5
0.32,Ideal,F,VS1,61.9,56.0,4.4,4.36,2.71,900,2812.5
0.32,Ideal,E,VS2,61.9,56.0,4.4,4.36,2.71,900,2812.5
0.32,Ideal,E,VS2,61.3,57.0,4.45,4.42,2.72,900,2812.5
0.32,Ideal,E,VS2,61.9,55.0,4.43,4.42,2.74,900,2812.5
0.32,Premium,E,VS2,60.5,55.0,4.49,4.43,2.7,900,2812.5
0.32,Ideal,E,VS2,62.3,56.0,4.41,4.38,2.74,900,2812.5
0.32,Ideal,E,VS2,62.1,55.0,4.42,4.4,2.74,900,2812.5
0.4,Premium,G,SI1,59.2,61.0,4.81,4.78,2.84,900,2250.0
0.4,Premium,G,SI1,61.6,59.0,4.72,4.66,2.89,900,2250.0
0.4,Ideal,G,SI1,60.2,56.0,4.83,4.77,2.89,900,2250.0
0.32,Ideal,E,VS2,62.0,57.0,4.41,4.39,2.73,900,2812.5
0.4,Premium,G,SI1,62.0,59.0,4.74,4.71,2.93,900,2250.0
0.4,Very Good,G,SI1,60.0,63.0,4.8,4.76,2.87,900,2250.0
0.4,Premium,G,SI1,59.3,59.0,4.82,4.8,2.85,900,2250.0
0.4,Premium,G,SI1,61.4,60.0,4.71,4.67,2.88,900,2250.0
0.4,Premium,G,SI1,62.7,59.0,4.71,4.67,2.94,900,2250.0
0.4,Premium,G,SI1,62.0,59.0,4.72,4.7,2.92,900,2250.0
0.4,Premium,G,SI1,61.1,61.0,4.76,4.7,2.89,900,2250.0
0.4,Premium,G,SI1,62.8,60.0,4.7,4.66,2.94,900,2250.0
0.32,Premium,E,VS2,60.5,58.0,4.48,4.44,2.7,900,2812.5
0.32,Premium,E,VS2,61.0,59.0,4.45,4.44,2.71,900,2812.5
0.32,Ideal,E,VS2,60.8,55.0,4.49,4.42,2.71,900,2812.5
0.32,Ideal,E,VS2,61.7,56.0,4.44,4.41,2.73,900,2812.5
0.32,Ideal,E,VS2,62.3,57.0,4.42,4.41,2.75,900,2812.5
0.32,Premium,E,VS2,61.2,59.0,4.43,4.4,2.7,900,2812.5
0.32,Ideal,E,VS2,61.4,56.0,4.43,4.4,2.71,900,2812.5
0.32,Ideal,E,VS2,61.8,55.0,4.43,4.4,2.73,900,2812.5
0.32,Ideal,E,VS2,62.1,56.0,4.43,4.4,2.74,900,2812.5
0.32,Ideal,E,VS2,62.1,54.0,4.42,4.4,2.74,900,2812.5
0.32,Ideal,E,VS2,62.1,55.0,4.43,4.39,2.74,900,2812.5
0.32,Ideal,E,VS2,62.0,55.0,4.46,4.38,2.74,900,2812.5
0.32,Ideal,E,VS2,62.0,55.0,4.41,4.39,2.73,900,2812.5
0.32,Premium,E,VS2,60.5,59.0,4.43,4.39,2.67,900,2812.5
0.32,Ideal,E,VS2,61.5,55.0,4.43,4.38,2.71,900,2812.5
0.32,Ideal,E,VS2,62.0,54.0,4.41,4.37,2.72,900,2812.5
0.32,Ideal,E,VS2,62.2,56.0,4.41,4.37,2.73,900,2812.5
0.32,Premium,E,VS2,61.7,58.0,4.41,4.38,2.71,900,2812.5
0.32,Ideal,E,VS2,62.1,56.0,4.41,4.38,2.73,900,2812.5
0.32,Ideal,E,VS2,62.6,53.0,4.38,4.37,2.74,900,2812.5
0.32,Ideal,E,VS2,62.0,57.0,4.41,4.37,2.72,900,2812.5
0.32,Ideal,E,VS2,62.3,54.0,4.4,4.37,2.73,900,2812.5
0.32,Ideal,E,VS2,62.2,55.0,4.38,4.37,2.72,900,2812.5
0.32,Ideal,E,VS2,61.7,55.0,4.42,4.36,2.71,900,2812.5
0.32,Premium,E,VS2,62.6,58.0,4.4,4.36,2.74,900,2812.5
0.32,Ideal,E,VS2,62.1,55.0,4.4,4.36,2.72,900,2812.5
0.32,Ideal,E,VS2,62.1,55.0,4.4,4.36,2.72,900,2812.5
0.32,Ideal,E,VS2,62.9,56.0,4.39,4.36,2.75,900,2812.5
0.32,Ideal,E,VS2,62.0,55.0,4.38,4.36,2.71,900,2812.5
0.32,Ideal,E,VS2,62.7,55.0,4.38,4.36,2.74,900,2812.5
0.32,Ideal,E,VS2,62.2,55.0,4.38,4.36,2.72,900,2812.5
0.32,Ideal,E,VS2,62.8,54.0,4.38,4.35,2.74,900,2812.5
0.32,Premium,E,VS2,61.3,59.0,4.39,4.35,2.68,900,2812.5
0.32,Ideal,E,VS2,61.9,56.0,4.4,4.35,2.71,900,2812.5
0.49,Premium,J,SI2,59.8,59.0,5.14,5.12,3.07,900,1836.734693877551
0.32,Ideal,E,VS2,61.6,55.0,4.42,4.41,2.72,900,2812.5
0.43,Premium,D,VS2,59.7,59.0,4.89,4.93,2.93,901,2095.3488372093025
0.33,Premium,F,VVS2,62.3,60.0,4.43,4.4,2.75,901,2730.30303030303
0.31,Ideal,F,IF,60.1,59.0,4.38,4.41,2.64,901,2906.451612903226
0.31,Ideal,F,IF,61.1,55.0,4.41,4.43,2.7,901,2906.451612903226
0.31,Ideal,F,IF,61.2,56.0,4.38,4.41,2.69,901,2906.451612903226
0.31,Ideal,F,IF,61.6,56.0,4.35,4.38,2.69,901,2906.451612903226
0.31,Ideal,F,IF,61.7,56.0,4.34,4.38,2.69,901,2906.451612903226
0.31,Ideal,F,IF,61.9,54.0,4.38,4.41,2.72,901,2906.451612903226
0.31,Ideal,F,IF,62.0,55.0,4.37,4.41,2.72,901,2906.451612903226
0.31,Ideal,F,IF,61.7,56.0,4.38,4.41,2.71,901,2906.451612903226
0.31,Ideal,F,IF,60.7,56.0,4.42,4.45,2.69,901,2906.451612903226
0.33,Ideal,H,VVS1,62.5,56.0,4.44,4.42,2.77,901,2730.30303030303
0.33,Ideal,G,VVS2,62.6,53.0,4.45,4.43,2.78,901,2730.30303030303
0.33,Premium,G,VVS2,61.5,62.0,4.43,4.39,2.71,901,2730.30303030303
0.39,Ideal,G,VVS2,61.9,56.0,4.68,4.7,2.9,902,2312.8205128205127
0.39,Ideal,G,VVS2,60.7,55.0,4.75,4.78,2.89,902,2312.8205128205127
0.39,Ideal,G,VVS2,60.6,57.0,4.72,4.75,2.87,902,2312.8205128205127
0.42,Ideal,E,VS2,60.9,57.0,4.85,4.87,2.96,902,2147.6190476190477
0.39,Ideal,F,VS1,61.3,56.0,4.7,4.72,2.89,902,2312.8205128205127
0.39,Ideal,F,VS1,61.6,57.0,4.7,4.72,2.9,902,2312.8205128205127
0.36,Very Good,G,VS1,61.4,55.0,4.63,4.65,2.85,903,2508.3333333333335
0.38,Ideal,H,VVS1,61.2,57.0,4.65,4.67,2.85,903,2376.315789473684
0.31,Ideal,F,VVS1,61.6,56.0,4.34,4.36,2.68,903,2912.9032258064517
0.31,Ideal,E,VVS1,61.0,57.0,4.39,4.37,2.67,903,2912.9032258064517
0.31,Ideal,E,VVS1,61.6,57.0,4.38,4.36,2.69,903,2912.9032258064517
0.43,Good,G,SI1,63.6,55.0,4.83,4.79,3.06,903,2100.0
0.43,Premium,E,SI2,61.0,60.0,4.94,4.87,2.99,903,2100.0
0.59,Fair,G,I1,64.6,56.0,5.26,5.2,3.38,903,1530.5084745762713
0.43,Very Good,G,SI1,63.1,58.0,4.79,4.75,3.01,903,2100.0
0.46,Very Good,F,SI1,60.1,57.0,5.01,5.04,3.02,904,1965.2173913043478
0.38,Good,E,VVS1,62.4,64.0,4.59,4.61,2.87,904,2378.9473684210525
0.43,Ideal,F,VS2,61.5,56.0,4.85,4.89,2.99,904,2102.3255813953488
0.4,Ideal,E,VS2,60.9,56.0,4.78,4.81,2.92,904,2260.0
0.41,Ideal,F,SI1,61.6,57.0,4.8,4.78,2.95,904,2204.878048780488
0.41,Very Good,F,SI1,63.3,58.0,4.74,4.71,2.99,904,2204.878048780488
0.41,Good,F,SI1,63.7,58.0,4.74,4.71,3.01,904,2204.878048780488
0.41,Ideal,F,SI1,63.0,56.0,4.78,4.71,2.99,904,2204.878048780488
0.41,Very Good,F,SI1,63.4,57.0,4.74,4.73,3.0,904,2204.878048780488
0.41,Very Good,F,SI1,63.1,59.0,4.75,4.7,2.98,904,2204.878048780488
0.41,Very Good,F,SI1,63.5,56.0,4.75,4.7,3.0,904,2204.878048780488
